title,description,depth_description,symptoms,diagnosis

ADHD,"Attention deficit hyperactivity disorder (ADHD) is a developmental disorder where there are significant problems with attention, hyperactivity or acting impulsively. ","Attention deficit hyperactivity disorder (ADHD) is a condition in which characterized by inattention, hyperactivity and impulsivity. ADHD is most commonly diagnosed in young people, according to the Center for Disease Control and Prevention (CDC). An estimated 9% of children between ages 3–17 have ADHD. While ADHD is usually diagnosed in childhood, it does not only affect children. An estimated 4% of adults have ADHD. With treatment, most people with ADHD can be successful in school, work and lead productive lives. Researchers are using new tools such as brain imaging to better understand the condition and to find more effective ways to treat and prevent ADHD. - See more at: http://www.nami.org/Learn-More/Mental-Health-Conditions/ADHD#sthash.54ojHiRf.dpuf","While some behaviors associated with ADHD are normal, someone with ADHD will have trouble controlling these behaviors and will show them much more frequently and for longer than 6 months.

Signs of inattention include:

Becoming easily distracted, and jumping from activity to activity.
Becoming bored with a task quickly.
Difficulty focusing attention or completing a single task or activity.
Trouble completing or turning in homework assignments.
Losing things such as school supplies or toys.
Not listening or paying attention when spoken to.
Daydreaming or wandering with lack of motivation.
Difficulty processing information quickly.
Struggling to follow directions.
Signs of hyperactivity include:

Fidgeting and squirming, having trouble sitting still.
Non-stop talking.
Touching or playing with everything.
Difficulty doing quiet tasks or activities.
Signs of impulsivity include:

Impatience.
Acting without regard for consequences, blurting things out.
Difficulty taking turns, waiting or sharing.
Interrupting others.
- See more at: http://www.nami.org/Learn-More/Mental-Health-Conditions/ADHD#sthash.mVliSF3n.dpuf","ADHD occurs in both children and adults, but is most often and diagnosed in childhood. Getting a diagnosis for ADHD can sometimes be difficult because the symptoms of ADHD are similar to typical behavior in most young children. Teachers are often the first to notice ADHD symptoms because they see children in a learning environment with peers every day. There is no one single test that can diagnose a child with ADHD, so meet with a doctor or mental health professional to gather all the necessary information to make a diagnosis. The goal is to rule out any outside causes for symptoms, such as environmental changes, difficulty in school, medical problems and ensure that a child is otherwise healthy. - See more at: http://www.nami.org/Learn-More/Mental-Health-Conditions/ADHD#sthash.FUD2b632.dpuf"

Anxiety Disorders,"Everyone experiences anxiety sometimes, but when it becomes overwhelming and repeatedly impacts a person's life, it may be an anxiety disorder. ","Everyone experiences anxiety. Speaking in front of a group makes most of us anxious, but that motivates us to prepare and do well. Driving in heavy traffic is a common source of anxiety, but it keeps us alert and cautious to better avoid accidents. However, when feelings of intense fear and distress are overwhelming and prevent us from doing everyday things, an anxiety disorder may be the cause. Anxiety disorders are the most common mental health concern in the United States. An estimated 40 million adults in the U.S., or 18%, have an anxiety disorder. Approximately 8% of children and teenagers experience the negative impact of an anxiety disorder at school and at home. Most people develop symptoms of anxiety disorders before age 21 and women are 60% more likely to be diagnosed with an anxiety disorder than men. - See more at: http://www.nami.org/Learn-More/Mental-Health-Conditions/Anxiety-Disorders#sthash.b6LjmDog.dpuf","Anxiety disorders are a group of related conditions, and each with unique symptoms. However, all anxiety disorders have one thing in common: persistent, excessive fear or worry in situations that are not threatening. People can experience one or more of the following symptoms:

Emotional symptoms:

Feelings of apprehension or dread
Feeling tense and jumpy
Restlessness or irritability
Anticipating the worst and being watchful for signs of danger
Physical symptoms:

Pounding or racing heart and shortness of breath
Upset stomach
Sweating, tremors and twitches
Headaches, fatigue and insomnia
Upset stomach, frequent urination or diarrhea
- See more at: http://www.nami.org/Learn-More/Mental-Health-Conditions/Anxiety-Disorders#sthash.vvOHm44Z.dpuf","The physical symptoms of an anxiety disorder can be easily confused with other medical conditions like heart disease or hyperthyroidism. Therefore, a doctor will likely perform a carefully evaluate involving a physical examination, an interview and ordering lab tests. After ruling out a medical illness, the doctor may recommend a person see a mental health professional to make a diagnosis. Using the Diagnostic and Statistical Manual of Mental Disorders (DSM) a mental health professional is able to identify the specific type of anxiety disorder causing the symptoms as well as any other possible disorders including depression, ADHD or substance abuse which may be involved. Tackling all disorders through comprehensive treatment is the best recovery strategy. - See more at: http://www.nami.org/Learn-More/Mental-Health-Conditions/Anxiety-Disorders#sthash.i8qpEUCu.dpuf"

Autism,Autism spectrum disorder (ASD) is a developmental disorder that makes it difficult to socialize and communicate with others. - See more at: http://www.nami.org/Learn-More/Mental-Health-Conditions#sthash.eFDYrkdK.dpuf,"Autism spectrum disorder (ASD) is a developmental disorder that affects a person’s ability to socialize and communicate with others. ASD can also result in restricted, repetitive patterns of behavior, interests or activities. The term “spectrum” refers to the wide range of symptoms, skills and levels of impairment or disability that people with ASD can display. Some people are mildly impaired by their symptoms, while others are severely disabled. The prevalence rate for ASD is 1 in 68 children and rising. Boys are 4 times more likely than girls to develop autism. ASD crosses racial, ethnic and social backgrounds equally. Awareness of this disorder and improved screening methods have contributed to the increase in diagnoses in recent years. - See more at: http://www.nami.org/Learn-More/Mental-Health-Conditions/Autism#sthash.chc0wY3a.dpuf","Symptoms of autism start to appear during the first three years of life. Typically, developing infants are social by nature. They gaze at faces, turn toward voices, grasp a finger and even smile by 2-3 months of age. By contrast, most children who develop autism have difficulty engaging in the give-and-take of everyday human interactions.

Not everyone will experience symptoms with the same severity, but all people with ASD will have symptoms that affect social interactions and relationships, verbal and nonverbal communication and preoccupation with certain activities. Along with different interests, autistic children generally have different ways of interacting with others. Often, parents are the first to notice that their child is showing unusual behaviors, such as failing to make eye contact, not responding to his or her name or playing with toys in unusual, repetitive ways.

Symptoms of autism can include:

Delay in language development, such as not responding to their own name or speaking only in single words, if at all.
Repetitive and routine behaviors, such as walking in a specific pattern or insisting on eating the same meal every day.
Difficulty making eye contact, such as focusing on a person’s mouth when that person is speaking instead of their eyes, as is usual in most young children.
Sensory problems, such as experiencing pain from certain sounds, like a ringing telephone or not reacting to intense cold or pain, certain sights, sounds, smells, textures and tastes.
Difficulty interpreting facial expressions, such as misreading or not noticing subtle facial cues, like a smile, wink or grimace, that could help understand the nuances of social communication.
Problems with expressing emotions, such as facial expressions, movements, tone of voice and gestures that are often vague or do not match what is said or felt.
Fixation on parts of objects, such as focusing on a rotating wheel instead of playing with peers.
Absence of pretend play, such as taking a long time to line up toys in a certain way, rather than playing with them.
Difficulty interacting with peers, because they have a difficult time understanding that others have different information, feelings and goals.
Self-harm behavior, such as hitting his head against a wall as a way of expressing disapproval.
Sleep problems, such as falling asleep or staying asleep.
Symptoms of autism fall on a continuum. This means that the learning, thinking and problem-solving abilities of children with ASD can range from gifted to severely challenged. Some children with ASD need a lot of help in their daily lives. With a thorough evaluation, doctors can make a diagnosis to help find the best treatment plan for the child.

- See more at: http://www.nami.org/Learn-More/Mental-Health-Conditions/Autism#sthash.UWHc42VS.dpuf","There is no medical test that can determine the possibility of developing autism, since the genes for ASD have not yet been identified. Specialists make the diagnosis after screening for social deficits, communication problems, and repetitive or restricted behavior. Diagnosing autism is often a 2-stage process. The first stage involves general developmental screening during well-child checkups with a pediatrician. Children who show some developmental problems are referred for additional evaluation. The second stage involves a thorough evaluation by a team of doctors and other health professionals with a wide range of specialties. At this stage, a child may be diagnosed as having autism or another developmental disorder. Typically, children with ASD can be reliably diagnosed by age 2, though some may not be diagnosed until they are older. - See more at: http://www.nami.org/Learn-More/Mental-Health-Conditions/Autism#sthash.P2sHwEpc.dpuf"

Bipolar Disorder,"Bipolar disorder causes dramatic highs and lows in a person’s mood, energy and ability to think clearly.","Bipolar disorder is a chronic mental illness that causes dramatic shifts in a person’s mood, energy and ability to think clearly. People with bipolar have high and low moods, known as mania and depression, which differ from the typical ups and downs most people experience. If left untreated, the symptoms usually get worse. However, with a strong lifestyle that includes self-management and a good treatment plan, many people live well with the condition. With mania, people may feel extremely irritable or euphoric. People living with bipolar may experience several extremes in the shape of agitation, sleeplessness and talkativeness or sadness and hopelessness. They may also have extreme pleasure-seeking or risk-taking behaviors. People’s symptoms and the severity of their mania or depression vary widely. Although bipolar disorder can occur at any point in life, the average age of onset is 25. Every year, 2.9% of the U.S. population is diagnosed with bipolar disorder, with nearly 83% of cases being classified as severe. Bipolar disorder affects men and women equally. - See more at: http://www.nami.org/Learn-More/Mental-Health-Conditions/Bipolar-Disorder#sthash.jLJpfpt7.dpuf","A person with bipolar disorder may have distinct manic or depressed states. A person with mixed episodes experiences both extremes simultaneously or in rapid sequence. Severe bipolar episodes of mania or depression may also include psychotic symptoms such as hallucinations or delusions. Usually, these psychotic symptoms mirror a person’s extreme mood. Someone who is manic might believe he has special powers and may display risky behavior. Someone who is depressed might feel hopeless, helpless and be unable to perform normal tasks. People with bipolar disorder who have psychotic symptoms may be wrongly diagnosed as having schizophrenia.

Mania. To be diagnosed with bipolar disorder, a person must have experienced mania or hypomania. Hypomania is a milder form of mania that doesn't include psychotic episodes. People with hypomania can often function normally in social situations or at work. Some people with bipolar disorder will have episodes of mania or hypomania many times; others may experience them only rarely. To determine what type of bipolar disorder people have, doctors evaluate how impaired they are during their most severe episode of mania or hypomania.

Although someone with bipolar may find an elevated mood very appealing—especially if it occurs after depression—the “high” does not stop at a comfortable or controllable level. Moods can rapidly become more irritable, behavior more unpredictable and judgment more impaired. During periods of mania, people frequently behave impulsively, make reckless decisions and take unusual risks. Most of the time, people in manic states are unaware of the negative consequences of their actions. It's key to learn from prior episodes the kinds of behavior that signal ""red flags"" to help manage the illness.

Depression. Depression produces a combination of physical and emotional symptoms that inhibit a person’s ability to function nearly every day for a period of at least two weeks. The level of depression can range from severe to moderate to mild low mood, which is called dysthymia when it is chronic.

The lows of bipolar depression are often so debilitating that people may be unable to get out of bed. Typically, depressed people have difficulty falling and staying asleep, but some sleep far more than usual. When people are depressed, even minor decisions such as what to have for dinner can be overwhelming. They may become obsessed with feelings of loss, personal failure, guilt or helplessness. This negative thinking can lead to thoughts of suicide. In bipolar disorder, suicide is an ever-present danger, as some people become suicidal in manic or mixed states. Depression associated with bipolar disorder may be more difficult to treat.

Early Warning Signs of Bipolar Disorder In Children and Teens
Children may experience severe temper tantrums when told “no.” Tantrums can last for hours while the child continues to become more violent. They may also show odd displays of happy or silly moods and behaviors. A new diagnosis, Disruptive Mood Dysregulation Disorder (DMDD), was added to the DSM-5 in 2014.

Teenagers may experience a drop in grades, quit sports teams or other activities, be suspended from school or arrested for fighting or drug use, engage in risky sexual behavior or talk about death or even suicide. These kinds of behaviors are worth evaluating with a health care provider.

- See more at: http://www.nami.org/Learn-More/Mental-Health-Conditions/Bipolar-Disorder#sthash.Xrv43btd.dpuf","To diagnose bipolar disorder, a doctor may perform a physical examination, conduct an interview and order lab tests. While bipolar disorder cannot be identified through a blood test or body scan, these tests can help rule out other illnesses that can resemble the disorder, such as hyperthyroidism. If no other illnesses (or other medicines such as steroids) are causing the symptoms, the doctor may recommend the person see a psychiatrist. To be diagnosed with bipolar illness, a person has to have had at least one episode of mania or hypomania.People can describe symptoms in a variety of ways. How a person describes symptoms often depends on the cultural lens she is looking through. In Western cultures, people generally talk about their moods or feelings, whereas in many Eastern cultures, people refer to physical pain. Research has shown that African Americans and Latinos are more likely to be misdiagnosed, so people who have been diagnosed with bipolar disorder should look for a health care professional who understands their background and shares their expectations for treatment."
Borderline Personality Disorder,"Borderline personality disorder (BPD) is characterized by severe, unstable mood swings, impulsivity and instability, poor self-image and stormy relationships.","Borderline personality disorder (BPD) is a condition characterized by difficulties in regulating emotion. This difficulty leads to severe, unstable mood swings, impulsivity and instability, poor self-image and stormy personal relationships. People may make repeated attempts to avoid real or imagined situations of abandonment. The combined result of living with BPD can manifest into destructive behavior, such as self-harm (cutting) or suicide attempts. It’s estimated that 1.6% of the adult U.S. population has BPD but it may be as high as 5.9%. Nearly 75% of people diagnosed with BPD are women, but recent research suggests that men may be almost as frequently affected by BPD. In the past, men with BPD were often misdiagnosed with PTSD or depression.  - See more at: http://www.nami.org/Learn-More/Mental-Health-Conditions/Borderline-Personality-Disorder#sthash.tWlnBMg5.dpuf","People with BPD experience wide mood swings and can display a great sense of instability and insecurity. Signs and symptoms may include:

Frantic efforts to avoid being abandoned by friends and family.
Unstable personal relationships that alternate between idealization—“I’m so in love!”—and devaluation—“I hate her.” This is also sometimes known as ""splitting.""
Distorted and unstable self-image, which affects moods, values, opinions, goals and relationships.
Impulsive behaviors that can have dangerous outcomes, such as excessive spending, unsafe sex, substance abuse or reckless driving.
Suicidal and self-harming behavior.
Periods of intense depressed mood, irritability or anxiety lasting a few hours to a few days.
Chronic feelings of boredom or emptiness.
Inappropriate, intense or uncontrollable anger—often followed by shame and guilt.
Dissociative feelings—disconnecting from your thoughts or sense of identity, or “out of body” type of feelings—and stress-related paranoid thoughts. Severe cases of stress can also lead to brief psychotic episodes.
Borderline personality disorder is ultimately characterized by the emotional turmoil it causes. People who have it feel emotions intensely and for long periods of time, and it is harder for them to return to a stable baseline after an emotionally intense event. Suicide threats and attempts are very common for people with BPD. Self-harming acts, such as cutting and burning, are also common.

- See more at: http://www.nami.org/Learn-More/Mental-Health-Conditions/Borderline-Personality-Disorder#sthash.KbRBz8ey.dpuf","There is no single medical test to diagnose BPD, and a diagnosis is not based on one sign or symptom. BPD is diagnosed by a mental health professional following a comprehensive psychiatric interview that may include talking with previous clinicians, medical evaluations and, when appropriate, interviews with friends and family. To be diagnosed with BPD, a person must have at least 5 of the 9 BPD symptoms listed above. - See more at: http://www.nami.org/Learn-More/Mental-Health-Conditions/Borderline-Personality-Disorder#sthash.jKXfkv1s.dpuf"
Depression,Depression is more than just feeling sad or going through a rough patch: it’s a serious mental health condition that requires understanding and treatment.,"Depression is more than just feeling sad or going through a rough patch. It’s a serious mental health condition that requires understanding, treatment and a good recovery plan. With early detection, diagnosis and a treatment plan consisting of medication, psychotherapy and lifestyle choices, many people get better. But left untreated, depression can be devastating, both for the people who have it and for their families.  Some people have only one episode in a lifetime, but for most people depression recurs. Without treatment, episodes may last a few months to several years. People with severe depression can feel so hopeless that they become a risk for suicide. An estimated 16 million American adults—almost 7% of the population—had at least 1 major depressive episode last year. People of all ages and all racial, ethnic and socioeconomic backgrounds can experience depression, but it does affect some groups of people more than others. Women are 70% more likely than men to experience depression, and young adults aged 18–25 are 60% more likely to have depression than people aged 50 or older. Getting a comprehensive evaluation is important. Underlying medical issues that can mimic a major depressive episode, side effects of other medications (like beta blockers or antihypertensives) or any other medical causes need to be ruled out. Understanding life stressors and prior responses to treatment effort can help shape a good treatment plan. Understanding how any co-occurring conditions fit into the diagnostic picture also informs treatment options. - See more at: http://www.nami.org/Learn-More/Mental-Health-Conditions/Depression#sthash.Un7Ym4kz.dpuf","Just like with any mental health condition, people with depression or who are going through a depressive episode (also known as major or clinical depression) experience symptoms differently. But for most people, depression changes how they function day-to-day.

Changes in sleep. Many people have trouble falling asleep, staying asleep or sleeping much longer than they used to. Waking up early in the morning is common for people with major depression.
Changes in appetite. Depression can lead to serious weight loss or gain when a person stops eating or uses food as a coping mechanism.
Lack of concentration. A person may be unable to focus during severe depression. Even reading the newspaper or following the plot of a TV show can be difficult. It becomes harder to make decisions, big or small.
Loss of energy. People with depression may feel profound fatigue, think slowly or be unable to perform normal daily routines.
Lack of interest. People may lose interest in their usual activities or lose the capacity to experience pleasure. A person may have no desire to eat or have sex.
Low self esteem. During periods of depression, people dwell on losses or failures and feel excessive guilt and helplessness. Thoughts like “I am a loser” or “the world is a terrible place” or “I don’t want to be alive” can take over.
Hopelessness. Depression can make a person feel that nothing good will ever happen. Suicidal thoughts often follow these kinds of negative thoughts—and need to be taken seriously.
Changes in movement. People with depression may look physically depleted or they may be agitated. For example, a person may wake early in the morning and pace the floor for hours.
Physical aches and pains. Instead of talking about their emotions or sadness, some people may complain about a headache or an upset stomach.
How a person describes the symptoms of depression often depends on the cultural lens she is looking through. In Western cultures, people generally talk about their moods or feelings, whereas in many Eastern cultures, people refer to physical pain.

- See more at: http://www.nami.org/Learn-More/Mental-Health-Conditions/Depression#sthash.vgWTvAMn.dpuf","To be diagnosed with depression, a person must have experienced a major depressive episode that has lasted longer than two weeks. Diagnosing depression can be complicated because a depressive episode can be part of bipolar disorder or another mental illness. How a person describes symptoms often depends on the cultural lens she is looking through. Research has shown that African Americans and Latinos are more likely to be misdiagnosed, so people who have been diagnosed with depression should look for a health care professional who understands their background and shares their expectations for treatment. - See more at: http://www.nami.org/Learn-More/Mental-Health-Conditions/Depression#sthash.XrCsRyzO.dpuf "
